MDTU,rho_M
10,0.000651042
20,0.000325521
30,0.000813802
40,0.000325521
50,0
60,0.000813802
70,0.000488281
80,0.000976562
90,0.000976562
100,0.00113932
110,0
120,0.000488281
130,0
140,0.000976562
150,0.000651042
160,0.00130208
170,0.000488281
180,0.000488281
190,0.00016276
200,0.000488281
210,0.000488281
220,0
230,0.000813802
240,0.000813802
250,0.000325521
260,0.000325521
270,0.000488281
280,0.000976562
290,0.000488281
300,0.000325521
310,0.000651042
320,0.000325521
330,0.000651042
340,0.000325521
350,0.000325521
360,0.00016276
370,0.00130208
380,0.00016276
390,0.000325521
400,0
410,0.000488281
420,0.00016276
430,0.000488281
440,0.000488281
450,0.000325521
460,0.00016276
470,0.000813802
480,0.000651042
490,0.000651042
500,0.000488281
510,0.00016276
520,0.000651042
530,0.000651042
540,0.000813802
550,0
560,0.000488281
570,0.000325521
580,0.000325521
590,0.000813802
600,0.000325521
610,0.000651042
620,0.000813802
630,0.000488281
640,0.000325521
650,0.000651042
660,0.000488281
670,0
680,0.000488281
690,0
700,0.000325521
710,0.000651042
720,0.000488281
730,0.000488281
740,0.000813802
750,0.000976562
760,0.00113932
770,0.000488281
780,0.000488281
790,0.00146484
800,0.000813802
810,0.000325521
820,0.000325521
830,0.000325521
840,0.000976562
850,0.000651042
860,0.000325521
870,0.000488281
880,0.000488281
890,0.000976562
900,0.000325521
910,0
920,0.000488281
930,0.000813802
940,0.000325521
950,0.000651042
960,0
970,0
980,0.000325521
990,0.00130208
1000,0.000813802
1010,0.00016276
1020,0.00113932
1030,0.00130208
1040,0.000488281
1050,0.000488281
1060,0.000651042
1070,0.00016276
1080,0.000488281
1090,0
1100,0.000488281
1110,0.00113932
1120,0.000488281
1130,0.000651042
1140,0.000488281
1150,0.000813802
1160,0.00016276
1170,0.00016276
1180,0.00016276
1190,0.000813802
1200,0.000651042
1210,0
1220,0
1230,0.000325521
1240,0.000651042
1250,0
1260,0.000813802
1270,0.000488281
1280,0.000488281
1290,0.000325521
1300,0.00130208
1310,0.000651042
1320,0.00179036
1330,0.00113932
1340,0.0016276
1350,0.000813802
1360,0.000325521
1370,0.000325521
1380,0.000488281
1390,0.000488281
1400,0.000813802
1410,0.00179036
1420,0.000651042
1430,0.000813802
1440,0
1450,0
1460,0.00016276
1470,0.000488281
1480,0.000325521
1490,0.000651042
1500,0.000325521
1510,0.000488281
1520,0.000651042
1530,0.00016276
1540,0.000325521
1550,0.000813802
1560,0.000976562
1570,0.000325521
1580,0.000488281
1590,0.000325521
1600,0.00113932
1610,0.00113932
1620,0.00195312
1630,0.000325521
1640,0.00211589
1650,0.000813802
1660,0.00195312
1670,0.00130208
1680,0.00016276
1690,0.000651042
1700,0.000813802
