beta, T1 ,    T2    	
6.515,122    ,128
6.608,133    ,135
6.664,141    ,148
6.700,146    ,146
6.740,151    ,151
6.770,156    ,156
6.800,160    ,160
6.840,166    ,166
6.880,173    ,173
6.950,185    ,185
7.030,199    ,199
7.100,213    ,245
7.150,223    ,235
7.200,233    ,245
7.280,251    ,269
7.373,273    ,273
7.596,334    ,334
7.650,350    ,356
7.825,408    ,409
8.000,474    ,478
8.200,562    ,562
8.400,667    ,667
8.570,770    ,775
8.710,866    ,866
8.850,974    ,980
9.060,1162   ,1165
9.230,1340   ,1340
9.360,1495   ,1495
